LEAID,LEA_NAME,ST,d_Locale_Txt,SCHOOL_YEAR,AIAN,Asian,Black,Hispanic,White,Multi,Total,diverse,variance,int_group
100180,attalla city,AL,suburban-small,1994-1995,0.101677681748856,0.0,12.8113879003559,0.813421453990849,86.2735129639044,,1967,Undiverse,,
100180,attalla city,AL,suburban-small,2016-2017,0.248292985723153,0.496585971446307,15.3941651148355,7.82122905027933,71.3221601489758,4.71756672873991,1611,Diverse,,
100185,saraland city,AL,suburban-large,2016-2017,1.53896529142109,1.60445317616241,15.4223968565815,1.47347740667976,78.2252783235102,1.73542894564506,3054,Undiverse,,
100188,chickasaw city,AL,suburban-large,2016-2017,0.473484848484849,0.284090909090909,70.3598484848485,3.125,25.7575757575758,0.0,1056,Diverse,,
100189,satsuma city,AL,suburban-large,2016-2017,3.03458009880028,0.917431192660551,10.4446012702893,0.776287932251235,82.4276640790402,2.39943542695836,1417,Undiverse,,
100190,alabaster city,AL,suburban-large,2016-2017,0.179914949296696,1.32482826300294,19.2181877657834,17.844291789336,58.4232908079817,3.00948642459928,6114,Diverse,0.0024128794162156,Highly integrated
100194,pelham city,AL,suburban-large,2016-2017,0.345803206538824,2.98648223828985,13.9264382269727,28.6073561773027,51.5246777742848,2.60924237661113,3181,Diverse,,
100195,pike road,AL,rural-fringe,2016-2017,0.0709219858156028,6.66666666666667,6.80851063829787,7.87234042553191,52.7659574468085,25.8156028368794,1410,Diverse,,
100210,auburn city,AL,city-small,1994-1995,0.0501630298470028,5.09154752947078,35.3398545272134,0.476548783546526,59.0418861299222,,3987,Diverse,0.0074500061434011,Highly integrated
100210,auburn city,AL,city-small,2016-2017,0.0702329392485075,10.6168793163994,25.1082757813414,4.74072339927426,57.9421748800187,1.52171368371766,8543,Diverse,0.0031115946072545,Highly integrated
100240,autauga county,AL,suburban-large,1994-1995,0.013238019592269,0.225046333068573,25.8538522637013,0.291236431029918,73.6166269526079,,7554,Diverse,0.263789124343063,Not integrated
100240,autauga county,AL,suburban-large,2016-2017,0.279359621790051,2.61093800365316,24.9167293435049,2.80434081873858,67.2719458472118,2.11668636510154,9307,Diverse,0.0979574850331677,Somewhat integrated
100270,baldwin county,AL,rural-fringe,1994-1995,0.180351685787285,0.295576373929162,18.9068683933671,0.4709182906668,80.1462852562497,,19961,Undiverse,,
100270,baldwin county,AL,rural-fringe,2016-2017,0.371628115589159,1.06362529634139,12.61293009547,8.25591080925226,73.3645159223425,4.33138976100468,31214,Diverse,0.0776677957411587,Highly integrated
100300,barbour county,AL,rural-remote,1994-1995,0.0,0.0,80.3157375431672,0.0,19.6842624568328,,2027,Undiverse,,
100300,barbour county,AL,rural-remote,2016-2017,0.354191263282172,0.0,81.3459268004723,11.9244391971665,6.02125147579693,0.354191263282172,847,Undiverse,,
100330,bessemer city,AL,suburban-large,1994-1995,0.0205254515599343,0.061576354679803,90.0862068965517,0.0205254515599343,9.8111658456486,,4872,Extremely undiverse,,
100330,bessemer city,AL,suburban-large,2016-2017,0.13869625520111,0.0277392510402219,89.6532593619972,8.01664355062413,1.99722607489598,0.166435506241331,3605,Undiverse,,
